City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Bathsheba,BB,13.2167,-59.5167,83.01,84,40,18.41,scattered clouds
314,Pangody,RU,65.85,74.4859,54.5,68,18,8.57,few clouds
315,Mezen,RU,65.8522,44.24,56.86,85,100,5.21,overcast clouds
316,Gumdag,TM,39.2061,54.5906,88.97,25,0,6.49,clear sky
317,Pasni,PK,25.2631,63.471,83.03,89,33,11.27,scattered clouds
318,Namibe,AO,-15.1961,12.1522,65.52,84,72,4.18,broken clouds
319,Burnie,AU,-41.0667,145.9167,34.95,71,3,5.14,clear sky
320,Taoudenni,ML,22.6783,-3.9836,100.26,6,0,6.04,clear sky
321,Gazanjyk,TM,39.2446,55.5154,92.98,12,0,12.28,clear sky
322,Bayji,IQ,34.9311,43.487,95.05,15,0,10.16,clear sky
323,Steamboat Springs,US,40.485,-106.8317,90.34,30,0,11.5,clear sky
324,Ulaangom,MN,49.9811,92.0667,57.04,68,99,2.66,overcast clouds
325,Maniitsoq,GL,65.4167,-52.9,44.17,91,100,3.8,overcast clouds
326,Sterling,US,39.0062,-77.4286,84.76,87,75,3.44,thunderstorm
327,The Valley,AI,18.217,-63.0578,84.06,75,4,19.46,clear sky
328,Najran,SA,17.4924,44.1277,84.85,36,100,5.95,overcast clouds
329,Iqaluit,CA,63.7506,-68.5145,44.33,81,75,9.22,broken clouds
330,Manjacaze,MZ,-24.7117,33.8828,63.52,96,0,3.47,clear sky
331,Camana,PE,-16.6228,-72.7111,62.69,78,73,8.48,broken clouds
332,Kokstad,ZA,-30.5472,29.4241,47.39,43,2,3.94,clear sky
333,Caravelas,BR,-17.7125,-39.2481,70.86,75,38,4.88,scattered clouds
334,Satun,TH,6.8333,100.0,77.0,94,96,2.01,overcast clouds
335,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,77.94,86,63,1.79,broken clouds
336,Mackenzie,CA,55.2999,-123.1698,70.02,56,100,3.44,overcast clouds
337,Kontagora,NG,10.3999,5.4695,71.92,90,38,3.49,scattered clouds
338,Corner Brook,CA,48.9667,-57.9484,64.49,87,100,10.25,overcast clouds
339,Kenai,US,60.5544,-151.2583,64.49,73,40,19.57,scattered clouds
340,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.99,89,1,10.45,clear sky
